,1,2,3,4,5,6,7,8,9
RPS28,-0.166502663,-0.187707155,-0.075520008,-0.284545873,-0.304006187,-0.17625064,-0.305788392,-0.392137097,-0.263611599
DBI,0.426533138,0.651683181,0.207892852,0.412510571,0.639695233,0.211635253,0.273814245,0.500802053,0.073134705
HSP90B1,0.295135249,0.291603558,0.089498151,0.328836464,0.205392513,0.189033824,0.282143229,0.189033824,0.039840265
PRDX3,1.538538164,1.326537348,0.90303827,1.552868871,1.343692069,0.934327778,1.506398832,1.297484916,0.889084099
RPS16,0.371837617,-0.027674958,-0.112474729,0.313826296,-0.083141235,-0.110915901,-0.064917477,-0.277533976,-0.227692025
MDH1,-0.475936324,0.178873958,0.160920188,-0.465938398,0.252173413,0.129612738,-0.395928676,0.266636643,0.182692298
FAU,0.215367972,0.568518598,0.353887836,0.312665174,0.669026766,0.468843943,0.282143229,0.63784206,0.438292852
UBA1,0.059355278,-0.311148256,-0.117161344,-0.123433941,-0.272297327,-0.049904906,-0.263611599,-0.286304185,-0.057391664
HIST1H3A,2.119024103,3.053285145,2.979842438,1.7031007,2.63691458,2.531319072,2.100641316,2.982765463,2.884207159
MSN,0.292781749,0.163498732,0.105678078,0.295135249,0.3021728,0.230203013,0.42867841,0.236339539,0.190298792
EEF2,-0.300448367,-0.256700472,0.005759269,-0.125006361,-0.288064643,-0.002888279,-0.19759996,-0.02180437,0.140124224
HIST1H1A,0.629473197,0.761285273,0.316145742,0.678973308,0.730313886,0.366252264,0.610700062,0.735522177,0.314986485
MYH9,0.210388864,0.146655222,0.062121712,0.197865391,0.082702589,0.078609835,0.126972856,0.079975377,0.056583528
TPD52L2,-0.036525876,0.079975377,-0.226003675,0.285698126,0.40599236,0.115033243,0.032806145,0.153156788,-0.1376478
UBE2V1,0.616357697,0.296310561,0.201633861,0.679874148,0.297484916,0.221567789,0.538041453,0.236339539,0.141432791
CARHSP1,0.112366523,-0.332789088,-0.072482754,0.24610401,-0.195946441,0.079975377,0.105678078,-0.336427665,-0.06039728
KRT16,0.734655433,-0.177881725,-0.424687669,0.496717988,-0.40545145,-0.623709617,0.779049553,0,-0.236163541
AHNAK,0.180147861,0.290424404,0.060739158,0.252173413,0.284514133,0.100304906,0.078609835,0.269033146,0.084064265
CAP1,0.386259141,0.283329168,-0.046921047,0.263034406,0.055195654,-0.212567535,0.37517848,0.167357928,0.191562651
RPL4,0.695102986,0.227741076,0.112366523,0.739848103,0.5290713,0.084064265,0.425459305,0.473007568,0.237563718
HSPD1,1.034919984,1.001441974,0.819668183,1.019346089,0.967168608,0.709290636,0.932061171,1.029982866,0.66448284
RPL28,-0.577766999,-0.562772261,-0.582079992,-0.634867407,-0.61705613,-0.621488377,-0.55851652,-0.541617996,-0.545824107
HNRNPA1,0.399444565,0.255802837,0.117695043,0.367371066,0.260627908,0.240008965,0.485426827,0.332278283,0.291603558
SNRPGP15,-0.325539348,-0.011587974,0.063502942,-0.50021788,-0.181149439,-0.092340172,-0.256700472,0.060739158,0.149259365
EIF4H,-0.575615328,-0.641603738,-0.483984853,-0.57132159,-0.614845103,-0.415037499,-0.320125852,-0.477944251,-0.251538767
RPS6,0.066261442,0.176322773,0.078609835,0.094911647,-0.005782353,-0.054392297,0.018634174,0.129612738,0.008630305
PFDN6,0.153156788,-0.117161344,-0.042456799,0.064882852,-0.202571918,-0.112474729,0.207892852,-0.058893689,0.031395196
PDIA6,-0.490050854,-0.120294234,-0.19759996,-0.343732465,-0.150400989,-0.118726939,-0.343732465,-0.093879047,-0.046921047
PLEC,-0.194294815,-0.10159814,-0.160040413,-0.241270432,-0.145605322,-0.117161344,-0.194294815,-0.092340172,-0.12973393
ATP5B,0.551885103,1.008630305,0.93960272,0.653518671,0.896853073,1.022900402,0.815575429,0.859969548,1.001441974
PCBP1,0.081339627,0.096261853,-0.09696173,0.23511432,-0.232768963,-0.100051014,0.154453593,-0.179514657,-0.045431429
RPL13,-0.541617996,-0.236163541,-0.160040413,-0.426625474,-0.267079618,-0.083141235,-0.506352666,-0.258425153,-0.182786076
PDIA4,0.305678743,0.308011315,0.048236186,0.220329955,0.326537348,0.108357178,0.171206827,0.097610797,0.008630305
RPS2,-0.323732592,-0.081613766,-0.171368418,-0.323732592,-0.17299399,-0.254977851,-0.277533976,-0.123433941,-0.199255376
HMGA1,0.707524791,0.60312187,0.443606651,0.825378604,0.72334012,0.579180148,0.828631582,0.726831217,0.582074221
CAPG,-0.215914857,-0.03209363,-0.064917477,-0.217591435,0.028569152,0.011495639,-0.222632891,-0.02180437,-0.01887801
CCT6A,-0.005782353,0.097610797,-0.117161344,0.048236186,-0.023269779,-0.19759996,0.151858817,0.115033243,-0.15521265
HSPA1L,-0.164884385,-0.077041036,-0.054392297,-0.110915901,-0.074000581,-0.008682243,-0.194294815,-0.066427362,0.052415894
TPM3,-0.13606155,0.243669081,0.077242999,0.012926174,0.327687364,0.254594043,-0.080087911,0.222804561,0.137503524
HN1L,-0.03209363,0.051024003,0.219091058,0.049630768,0.137503524,0.319617934,0.044044333,0.132247798,0.314986485
SRSF7,-0.072482754,-0.09696173,0.241230036,-0.024736678,-0.046921047,0.3068455,-0.043943348,-0.064917477,0.289244285
RPL35,0.486456956,0.415758667,0.252173413,0.485426827,0.417920008,0.269033146,0.332278283,0.264236151,0.116364757
CALR,0.272620455,0.044044333,0.018634174,0.348232419,0.243669081,0.209141398,0.248534836,0.007195501,0.032806145
TPM1,-0.109358756,0.231432408,0.10433666,-0.001443417,0.347098671,0.284514133,-0.190997225,0.159629186,0.057970069
S100A14,0.020057652,0.413594082,0.588804567,0.502839758,0.899948986,1.09017595,0.248534836,0.645240513,0.835924074
SNX3,-0.682695932,0.370722275,-0.311148256,-0.263611599,0.79243893,0.124328135,-0.940644722,0.116364757,-0.552156356
RPL3,0.187767747,0.381837084,0.276198865,0.081339627,0.196607044,0.186500558,0.060739158,0.289244285,0.166072676
RPL23A,0.521050737,0.34596403,0.221567789,0.620117165,0.445726703,0.349365278,0.466757616,0.328836464,0.214124805
ALDH1A3,-0.272297327,-0.267079618,0.037030731,-0.531156057,-0.330973234,-0.13606155,-0.261880711,-0.284545873,-0.110915901
RPLP1,0.687956494,0.308011315,0.173767068,0.877351626,0.500802053,0.380729449,0.779890039,0.403813062,0.283329168
SRSF3,-0.63039393,-0.590744853,-0.329159664,-0.63039393,-0.736965594,-0.461958547,-0.492078535,-0.520769439,-0.246395464
PGLS,0.289244285,0.020057652,-0.140825544,0.185232254,-0.080087911,-0.226003675,0.201633861,-0.06340917,-0.209227962
DSTN,0.032806145,0.10433666,0.22897257,0.067638717,0.141432791,0.280956314,0.034215715,0.109694865,0.249748715
UBE2N,-0.293358943,-0.253257284,-0.13289427,-0.231074664,-0.187707155,-0.052894948,-0.244685096,-0.202571918,-0.066427362
EIF4A1,-0.426625474,-0.219269964,-0.354759487,-0.40545145,-0.219269964,-0.325539348,-0.298672743,-0.048412205,-0.174621396
EEF1B2,0.365132593,0.201633861,-0.227692025,0.328836464,0.168642036,-0.246395464,0.159629186,0,-0.415037499
ATP5D,0.893750502,0.709290636,0.682573297,0.820485343,0.638768944,0.626672753,0.719840555,0.539034703,0.527070336
TCEB2,0.504874589,0.696884091,0.200378798,0.304511042,0.49978212,0.01720929,0.293958979,0.489542936,0.007195501
RANBP1,0.618238656,0.613531653,0.448900951,0.885964757,0.883620816,0.705756782,0.754459974,0.751892138,0.605968359
RPL10A,-0.150400989,-0.182786076,0.079975377,-0.239566125,-0.461958547,-0.209227962,-0.112474729,-0.334607229,-0.110915901
RPS18,0.381837084,-0.002888279,0.15704371,0.316145742,0.024319679,0.176322773,0.066261442,-0.153606979,0.010063683
PTGES3,0.057970069,0.046840254,-0.253257284,-0.246395464,-0.275786313,-0.53951953,0.079975377,0.09895848,-0.212567535
MT2A,-0.035046947,0.141432791,0.028569152,-0.013043037,0.166072676,0.067638717,-0.061902439,0.117695043,0.020057652
CCT2,-0.434402824,-0.352915787,-0.305788392,-0.440263476,-0.358453971,-0.265344567,-0.371459681,-0.10780329,-0.226003675
ACTN1,-0.051399153,-0.023269779,0.059355278,0.177598929,0.002882509,0.132247798,-0.112474729,-0.051399153,0.027154052
RPS7,0.427606173,0.447843644,0.171206827,0.396159489,0.418999465,0.151858817,0.379620962,0.403813062,0.084064265
PSME1,-0.086201035,-0.02620507,0.060739158,-0.066427362,0.037030731,0.070389328,-0.020340448,0.094911647,0.09085343
RPL34,0.751892138,0.231432408,0.250961574,0.882838656,0.365132593,0.399444565,0.402722177,-0.115597447,-0.081613766
RPL31,0.240008965,0.449957484,0.439357178,0.109694865,0.321928095,0.326537348,0.133563526,0.34596403,0.350497247
SRP9,0.197865391,0.093560176,0.303342394,0.418999465,0.317304068,0.541019153,0.474046599,0.372952098,0.59645814
SUMO2,0.633198686,0.052415894,0.199122642,0.632268215,0.053806444,0.215367972,0.567545448,-0.010134377,0.151858817
TCP1,0.154453593,0.517023672,-0.095419565,-0.001443417,0.295135249,-0.227692025,0.108357178,0.474046599,-0.123433941
SRSF1,-0.274040765,-0.399730246,-0.214240226,-0.274040765,-0.106249498,0.057970069,-0.169744676,-0.364013496,-0.148800661
RPL27,-0.724992953,-0.397828209,-0.392137097,-0.655171503,-0.340075442,-0.305788392,-0.603840511,-0.286304185,-0.253257284
PNP,-0.440263476,-0.526992432,-0.150400989,-0.680382066,-0.504304837,-0.148800661,-0.516635639,-0.390245038,-0.110915901
RPL8,-0.3382504,-0.19759996,-0.072482754,-0.204233052,-0.164884385,-0.024736678,-0.320125852,-0.258425153,-0.109358756
SKP1,-0.134477041,0.439357178,0.088141597,0.176322773,0.753604536,0.416839742,0.069014678,0.646162657,0.309176187
CSTB,0.510961919,0.33571191,0.227741076,0.616357697,0.506906555,0.413594082,0.684369929,0.44148348,0.341416524
PTBP1,0.259423152,0.277389699,0.13093087,0.263034406,0.195347598,0.196607044,0.236339539,0.206643224,0.146655222
HNRNPA0,-0.454031631,-0.106249498,-0.284545873,-0.415037499,-0.064917477,-0.227692025,-0.621488377,-0.270555993,-0.434402824
