,1,2,3,4,5,6,7,8,9
SYNCRIP ,-0.583120966,-1.089510901,-0.935416609,-0.251910992,-0.758300927,-0.604206634,-0.145002202,-0.651392136,-0.497297844
ELAVL1 ,0.979220976,1.147301037,0.815478913,0.376300944,0.544381005,0.212558882,0.603533436,0.771613497,0.439791374
CUTA ,-0.195654157,-0.221306698,-0.468448424,-0.147272254,-0.172924794,-0.42006652,-0.316471617,-0.342124158,-0.589265884
S100A14 ,0.764703101,0.625420871,0.580349007,0.425032631,0.2857504,0.240678536,1.036354874,0.897072644,0.85200078
CNDP2 ,0.675171865,0.493995101,0.412575656,0.388504029,0.207327264,0.125907819,0.451551159,0.270374395,0.18895495
RPS11 ,0.652841048,0.745811246,0.535470492,0.263758509,0.356728707,0.146387953,0.336242517,0.429212715,0.21887196
DDX46 ,-0.309652769,-0.261399844,-0.073098902,-0.349648361,-0.301395435,-0.113094494,-0.30164472,-0.253391795,-0.065090853
PPIB ,0.700560897,0.666373873,0.280941536,0.61402803,0.579841006,0.19440867,0.465807056,0.431620032,0.046187695
KRT80 ,0.698775811,0.643638207,0.326437431,0.424972808,0.369835204,0.052634428,0.538981063,0.483843459,0.166642683
CAST ,0.884793501,1.050860539,0.719076365,0.364091185,0.530158222,0.198374048,0.513781454,0.679848491,0.348064317
XRCC5 ,-0.667691898,-0.910239635,-0.6004425,-0.296046235,-0.538593972,-0.228796837,-0.256800656,-0.499348393,-0.189551258
HSPH1 ,0.579984127,0.480437186,0.231192033,0.419070657,0.319523716,0.070278562,0.445336875,0.345789934,0.09654478
CTNNAL1 ,1.201448656,1.241297109,0.691977237,0.616475583,0.656324036,0.107004164,0.810176816,0.850025268,0.300705397
HAUS4 ,1.04297968,1.105411241,0.512259456,0.907901521,0.970333083,0.377181298,0.566152799,0.628584361,0.035432576
PRDX5 ,-0.11198643,-0.216099409,-0.401855005,-0.134990661,-0.239103639,-0.424859236,-0.351127381,-0.455240359,-0.640995956
LSM12 ,-0.100427225,-0.256593711,-0.154049407,-0.159537851,-0.315704337,-0.213160033,-0.42364116,-0.579807646,-0.477263342
VDAC3 ,0.70160214,0.721135773,0.59745185,0.224144568,0.243678201,0.119994278,0.512030342,0.531563975,0.407880052
CTNNA1 ,-0.377608819,-1.480539039,-1.442280276,-0.417323293,-1.520253513,-1.48199475,-0.293940642,-1.396870861,-1.358612098
DPY30 ,-0.73065791,-0.599946005,-0.3354633,-0.437745958,-0.307034053,-0.042551348,-0.920633397,-0.789921492,-0.525438787
RPS15A ,0.529005728,0.492440929,0.423616141,0.233939731,0.197374933,0.128550144,0.263643604,0.227078805,0.158254016
RPL7A ,0.559200559,0.534723646,0.291594098,0.302706516,0.278229602,0.035100055,0.409442576,0.384965662,0.141836114
RNF187 ,0.399066334,0.471789426,0.353869107,0.098845108,0.1715682,0.053647881,0.332044729,0.404767821,0.286847502
TARS1 ,0.409365131,0.403850761,0.163373211,0.251394568,0.245880198,0.005402648,0.427135274,0.421620904,0.181143354
VDAC1 ,0.888135482,0.913408452,0.934266502,0.187996469,0.213269439,0.234127489,0.702154448,0.727427418,0.748285468
HSP90AA5P ,-0.198426314,-0.607066388,-0.838585003,-0.412847495,-0.821487569,-1.053006183,-0.221667516,-0.63030759,-0.861826205
CCT6B ,0.191852362,0.331286589,0.100741573,0.380019806,0.519454033,0.288909018,0.179782837,0.319217064,0.088672048
RACK1 ,0.803869337,0.753378668,0.404608199,0.495860477,0.445369808,0.096599338,0.510718627,0.460227958,0.111457489
KRT16 ,-0.133032338,-1.143825604,-1.21157112,-0.475476703,-1.48626997,-1.554015485,-0.37366413,-1.384457397,-1.452202912
ETFA ,-0.065209786,-0.027497646,-0.056921071,-0.248483705,-0.210771565,-0.240194991,-0.235070056,-0.197357915,-0.226781341
IGF2BP2 ,-0.096574864,-0.29777798,-0.336612955,-0.047070968,-0.248274084,-0.28710906,-0.293524881,-0.494727997,-0.533562973
ELOC ,0.241145961,0.253351134,0.1198144,0.513159684,0.525364856,0.391828122,0.250344676,0.262549849,0.129013115
EIF2S1 ,-0.275931218,-1.406986038,-1.613972332,-0.412678961,-1.543733782,-1.750720075,-0.386738028,-1.517792848,-1.724779142
EIF4A2 ,0.517601614,0.521326161,0.260008025,0.310845552,0.314570099,0.053251963,0.337323805,0.341048352,0.079730216
DHRSX ,0.442711711,0.432645463,0.284545354,0.222070979,0.212004731,0.063904622,0.242929449,0.232863201,0.084763092
EIF3D ,-0.277886712,-0.208413571,-0.095781229,-0.283496448,-0.214023307,-0.101390966,-0.197721644,-0.128248503,-0.015616162
MIF ,0.832101538,0.894878799,0.370699152,0.514207791,0.576985052,0.052805405,0.625746208,0.688523469,0.164343821
CALU ,0.45733722,0.386059685,0.205857904,0.2926825,0.221404965,0.041203184,0.320574993,0.249297458,0.069095677
CAPZB ,-0.722421413,-0.344991692,-0.308333079,-0.592492124,-0.215062404,-0.17840379,-0.977173622,-0.599743901,-0.563085288
NAP1L4 ,-0.159203083,-0.113656624,-0.287038874,-0.085805669,-0.04025921,-0.21364146,-0.210513265,-0.164966806,-0.338349056
PWWP2B ,0.306523582,0.367077856,0.103855156,0.255672034,0.316226308,0.053003608,0.24215552,0.302709794,0.039487094
POTEI ,0.309210147,0.281783974,0.351252885,0.083293475,0.055867302,0.125336213,0.383921041,0.356494868,0.425963779
HNRNPU ,-0.079630499,-0.79549756,-0.805716583,-0.447551726,-1.163418786,-1.173637809,-0.187768016,-0.903635076,-0.9138541
